id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1218395 CR," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3127672_AB_11," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
BROSE_G51046_101_0, N38_PosiciónØ,BROSE, N38,PosiciónØ,0.0,Sistema global de coordenadas
JOYSON_3118675_AB_1222683, N38_Ø,JOYSON, N38,Ø,1222683.0,nan
BROSE_G51046_101_0, N15.6_PosiciónØ,BROSE, N15.6,PosiciónØ,0.0,Sistema global de coordenadas
BROSE_G51046_101_1226051CR, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_3118675_AB_214259CR, N23_Posición,JOYSON, N23,Posición,214259CR,Sistema global de coordenadas
BROSE_G51046_101_26051, N5_Perfil de una línea,BROSE, N5,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187ACAV2, N59.1_Posición,JOYSON, N59.1,Posición,1219187ACAV2,Sistema global de coordenadas
JOYSON_3127672_AB_1209761a, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1209761a,nan
JOYSON_PTCOVER_3141954_AA_1219187ACAV2, N59.4_Posición,JOYSON, N59.4,Posición,1219187ACAV2,Sistema global de coordenadas
JOYSON_3127672_AB_120A, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,120A,nan
JOYSON_3127672_AB_1211578A, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1211578A,nan
JOYSON_3130801_AC_1236726A, N19.1_∠YZ,JOYSON, N19.1,∠YZ,nan,SC ROTAT
JOYSON_3127672_AB_1215849, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1215849.0,nan
JOYSON_3127672_AB_1232648, N38 CILINDRE_Ø,JOYSON, N38 CILINDRE,Ø,1232648.0,nan
JOYSON_3130801_AC_1242615A, N21_PosiciónØ,JOYSON, N21,PosiciónØ,1242615A,Sistema global de coordenadas
JOYSON_3127672_AB_21226869," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3130801_AC_126365AA, N44_Perfil de una línea,JOYSON, N44,Perfil de una línea,nan,nan
JOYSON_3127672_AB_24837f, N39_Ø,JOYSON, N39,Ø,24837f,nan
JOYSON_3127672_AB_27111 FL, N36.6_Posición,JOYSON, N36.6,Posición,27111 FL,Sistema global de coordenadas
JOYSON_3130801_AC_126365AA, N21_PosiciónØ,JOYSON, N21,PosiciónØ,126365AA,Sistema global de coordenadas
JOYSON_3127672_AB_27111, N33.1_Posición,JOYSON, N33.1,Posición,27111.0,Sistema global de coordenadas
JOYSON_3127672_AB_29672, N36.2_Posición,JOYSON, N36.2,Posición,29672.0,Sistema global de coordenadas
JOYSON_3127672_AB_2, N36.3_Posición,JOYSON, N36.3,Posición,2.0,Sistema global de coordenadas
JOYSON_3127672_AB_2," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3127672_AB_30037A, N36.5_Posición,JOYSON, N36.5,Posición,30037A,Sistema global de coordenadas
JOYSON_3127672_AB_30037A, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3127672_AB_30423A, N36.6_Posición,JOYSON, N36.6,Posición,30423A,Sistema global de coordenadas
JOYSON_3127672_AB_3127672AB, N36.6_Posición,JOYSON, N36.6,Posición,3127672AB,Sistema global de coordenadas
JOYSON_3127672_AB_32646 CR, N36.6_Posición,JOYSON, N36.6,Posición,32646 CR,Sistema global de coordenadas
JOYSON_3130801_AC_126365AA, N28.2 C_Perfil de una línea,JOYSON, N28.2 C,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_3130801_AC_126365AA, N28.2 D_Perfil de una línea,JOYSON, N28.2 D,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_3130801_AC_126365AA, N19.1_∠YZ,JOYSON, N19.1,∠YZ,nan,SC ROTAT
JOYSON_3127672_AB_34710A, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,34710A,Sistema global de coordenadas
JOYSON_3127672_AB_37818 A, N40_Ø,JOYSON, N40,Ø,37818 A,nan
JOYSON_3127672_AB_38406 AA, N23_Posición,JOYSON, N23,Posición,38406 AA,Sistema global de coordenadas
JOYSON_3127672_AB_M, N39_Ø,JOYSON, N39,Ø,M,nan
JOYSON_3130800_AC_21231762, N19.1_∠YZ,JOYSON, N19.1,∠YZ,nan,SC ROTAT
JOYSON_3130800_AC_42615A , N44_Perfil de una línea,JOYSON, N44,Perfil de una línea,nan,nan
JOYSON_3130800_AC_42615, N44_Perfil de una línea,JOYSON, N44,Perfil de una línea,nan,nan
JOYSON_3130801_AC_11231762, N19.2_∠YZ,JOYSON, N19.2,∠YZ,nan,SC ROTAT
JOYSON_3130801_AC_11242615 CAV.2, N27 DATUM A_Ø,JOYSON, N27 DATUM A,Ø,11242615 CAV.2,nan
JOYSON_PTCOVER_3141954_AA_1219187ACAV2, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1219187ACAV2,DATUMS A B C
JOYSON_3130801_AC_42615, N27 DATUM A_Ø,JOYSON, N27 DATUM A,Ø,42615.0,nan
SOGEFI_19004_05_1219616A , N604.3_Posición,SOGEFI, N604.3,Posición,1219616A ,Sistema global de coordenadas
SOGEFI_19004_05_1219616A , N903_Posición,SOGEFI, N903,Posición,1219616A ,Sistema global de coordenadas
SOGEFI_19004_05_1219616A , N907_Posición,SOGEFI, N907,Posición,1219616A ,DATUM D
JOYSON_PTCOVER_3115485_AA_09609, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206394A, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206394,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1206394.0,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_12068331, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
BROSE_G44966_101_30081, N33_PosiciónØ,BROSE, N33,PosiciónØ,30081.0,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_12068332," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",12068332.0,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206833A CAV1," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1206833A CAV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206833A CAV2," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1206833A CAV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206833CAV1A, N126_Posición,JOYSON, N126,Posición,1206833CAV1A,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1206833CAV2A,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1206833CAV2A,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1206833CAV2, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187A, N68.2_Posición,JOYSON, N68.2,Posición,1219187A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187A, N68.5_Posición,JOYSON, N68.5,Posición,1219187A,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1207988A CAVITAT 1, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3115485_AA_1207988A," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1207988A,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1207988CAV2,  N76_Posición,JOYSON,  N76,Posición,1207988CAV2,A B C ROTAT
JOYSON_PTCOVER_3115485_AA_1208745ACAV1,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1208745ACAV1,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1208745ACAV2, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187A, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1219187A,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1219187A, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1209606ACAV1, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1209609ACAV2, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3115485_AA_1209609," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1209609.0,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1209766 CAV 2, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1209766 CAV 2,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1209766 CVA 1, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219187CV1, N122.1_Posición,JOYSON, N122.1,Posición,1219187CV1,DATUMS A B C R21º
JOYSON_PTCOVER_3115485_AA_1209766ACAV1,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1209766ACAV1,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1209766ACAV2, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1211049 CAV1,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1211049 CAV1,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1211049 CAV2, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1211049ACAV2, N68.4_Posición,JOYSON, N68.4,Posición,1211049ACAV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1212062CAV1A," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1212062CAV1A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187CV2,  N76_Posición,JOYSON,  N76,Posición,1219187CV2,A B C ROTAT
JOYSON_PTCOVER_3115485_AA_1212926CAV1A,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1212926CAV1A,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1212926CAV2A, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1212926V2,  N76_Posición,JOYSON,  N76,Posición,1212926V2,A B C ROTAT
JOYSON_PTCOVER_3115485_AA_1212926V2," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1212926V2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454A-CV1,  N76_Posición,JOYSON,  N76,Posición,1213454A-CV1,A B C ROTAT
JOYSON_PTCOVER_3115485_AA_1213454A-CV1, N64.1_Posición,JOYSON, N64.1,Posición,1213454A-CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454A-CV1,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1213454A-CV1,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1213454CAV2, N68.1_Posición,JOYSON, N68.1,Posición,1213454CAV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV.2, N62.3_Posición,JOYSON, N62.3,Posición,1213454CV.2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV.2, N64.13_Posición,JOYSON, N64.13,Posición,1213454CV.2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV1, N65.3_Posición,JOYSON, N65.3,Posición,1213454CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV1, N64.13_Posición,JOYSON, N64.13,Posición,1213454CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV2, N64.3_Posición,JOYSON, N64.3,Posición,1213454CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV2, N68.1_Posición,JOYSON, N68.1,Posición,1213454CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1213454CV2, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1213454CV2,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1214589 CV1, N54_Posición,JOYSON, N54,Posición,1214589 CV1,SC F E D 
JOYSON_PTCOVER_3115485_AA_1214589 CV1, N64.6_Posición,JOYSON, N64.6,Posición,1214589 CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1214589 CV1, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3115485_AA_12145891, N64.10_Posición,JOYSON, N64.10,Posición,12145891.0,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_12145891," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",12145891.0,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1214589A1, N65.1_Posición,JOYSON, N65.1,Posición,1214589A1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1214589A1, N99_Posición,JOYSON, N99,Posición,1214589A1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1214589A, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1215538 CV2,  N76_Posición,JOYSON,  N76,Posición,1215538 CV2,A B C ROTAT
JOYSON_PTCOVER_3115485_AA_1215538 CV2, N64.11_Posición,JOYSON, N64.11,Posición,1215538 CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1215538 CV2," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1215538 CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1215538ACAV1," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1215538ACAV1,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1215538CV1, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1215538CV1,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1217665 CV1 A, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1217665 CV1 A,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1217665 CV2  A, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_1217665ACAV2, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1217665ACAV2,DATUMS A B C
JOYSON_PTCOVER_3115485_AA_1217665cav2, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3115485_AA_17665cv1, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1219187CV1, N4.2_Posición,JOYSON, N4.2,Posición,1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_0001233772 CAV1, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_0001233772 cav2, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_12115852CAV1A, N99_Posición,JOYSON, N99,Posición,12115852CAV1A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1215842CAV2A, N126_Posición,JOYSON, N126,Posición,1215842CAV2A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1215842CV1 FR, N99_Posición,JOYSON, N99,Posición,1215842CV1 FR,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1216480CV1 A, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219187CV1, N65.2_Posición,JOYSON, N65.2,Posición,1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1216480CV2 A, N126_Posición,JOYSON, N126,Posición,1216480CV2 A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187CV1, N65.6_Posición,JOYSON, N65.6,Posición,1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1216480," N71.2_Posición(UZ)[-0,10]",JOYSON, N71.2,"Posición(UZ)[-0,10]",1216480.0,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1217266 CV2  final de tot,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1217266 CV2  final de tot,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1217266CAV1A, N99_Posición,JOYSON, N99,Posición,1217266CAV1A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1217266cv1 final de lot, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187CV1, N68.3_Posición,JOYSON, N68.3,Posición,1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187CV1, N68.5_Posición,JOYSON, N68.5,Posición,1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1217665cav.2," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1217665cav.2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1217865ACAV2, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1218594 CV 2, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1218594 CV1, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1218594ACAV1, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1218594ACAV1,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1218594ACAV2,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1218594ACAV2,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1219187CV1," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1219187CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187    CV2," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1219187    CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187  CV1 A, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219187  CV2   INICI LOT A," N71.2_Posición(UZ)[-0,10]",JOYSON, N71.2,"Posición(UZ)[-0,10]",1219187  CV2   INICI LOT A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187  CV2 A, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219187 CV 1  INICI DE LOT   A, N97.1_Perfil de una línea,JOYSON, N97.1,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1219187 CV2  FINAL DE LOT," N71.2_Posición(UZ)[-0,10]",JOYSON, N71.2,"Posición(UZ)[-0,10]",1219187 CV2  FINAL DE LOT,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_12191874  CV1  FINAL DE LOT, N126_Posición,JOYSON, N126,Posición,12191874  CV1  FINAL DE LOT,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219187CV1, N87.1_Perfil de una línea,JOYSON, N87.1,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219345  CV 1, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219345 CV2, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219345 FINAL LOT CV1, N106.2_Perfil de una línea,JOYSON, N106.2,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1219345ACAV2, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
SOGEFI_19004_05_1219616A, N405_Ø,SOGEFI, N405,Ø,1219616A,nan
SOGEFI_19004_05_1219616A, N704_Ø,SOGEFI, N704,Ø,1219616A,nan
JOYSON_PTCOVER_3141954_AA_1219345CV2, N64.13_Posición,JOYSON, N64.13,Posición,1219345CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1219345,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1219345.0,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1220502 CV 1 FINAL LOT," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1220502 CV 1 FINAL LOT,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220502 CV 2  FINAL LOT, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1220502 CV 2  FINAL LOT,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1220502 CV1, N4.1_Posición,JOYSON, N4.1,Posición,1220502 CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220502 CV1, N64.1_Posición,JOYSON, N64.1,Posición,1220502 CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220502ACAV1, N99_Posición,JOYSON, N99,Posición,1220502ACAV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220502ACAV2," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1220502ACAV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220502CV2," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1220502CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220552 CV1," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1220552 CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220747 CV  2 FINAL LOT," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1220747 CV  2 FINAL LOT,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220747 CV 1  FINAL DE LOT," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1220747 CV 1  FINAL DE LOT,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1220747 CV 1INICI LOT ,  N76_Posición,JOYSON,  N76,Posición,1220747 CV 1INICI LOT ,A B C ROTAT
JOYSON_PTCOVER_3141954_AA_1220747 CV 1INICI LOT , N12_PosiciónØ,JOYSON, N12,PosiciónØ,1220747 CV 1INICI LOT ,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1222004  CV1, N97.2_Perfil de una línea,JOYSON, N97.2,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1222004 CANVI RULL CV 2, N126_Posición,JOYSON, N126,Posición,1222004 CANVI RULL CV 2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222004 CV2  ," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1222004 CV2  ,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222333 CV2, N12_PosiciónØ,JOYSON, N12,PosiciónØ,1222333 CV2,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1222333 FINAL LOT  CV2," N71.1_Posición(UZ)[-0,10]",JOYSON, N71.1,"Posición(UZ)[-0,10]",1222333 FINAL LOT  CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222333 INICI LOT   A,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1222333 INICI LOT   A,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1222671  CV2, N126_Posición,JOYSON, N126,Posición,1222671  CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222671 CV2, N99_Posición,JOYSON, N99,Posición,1222671 CV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222671ACAV1," N71.4_Posición(UZ)[-0,10]",JOYSON, N71.4,"Posición(UZ)[-0,10]",1222671ACAV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222671, N99_Posición,JOYSON, N99,Posición,1222671.0,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1222805CAV1, N99_Posición,JOYSON, N99,Posición,1222805CAV1,Sistema global de coordenadas
SOGEFI_19004_05_1219616A, N705_ConcentricidadØ,SOGEFI, N705,ConcentricidadØ,nan,CERCLE B
JOYSON_PTCOVER_3141954_AA_1223237 INICI LOT A," N71.3_Posición(UZ)[-0,10]",JOYSON, N71.3,"Posición(UZ)[-0,10]",1223237 INICI LOT A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1223237CV1,  N76_Posición,JOYSON,  N76,Posición,1223237CV1,A B C ROTAT
JOYSON_PTCOVER_3141954_AA_1223237CV1, N97.2_Perfil de una línea,JOYSON, N97.2,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1223237CV2, N97.2_Perfil de una línea,JOYSON, N97.2,Perfil de una línea,nan,SC F E D 
JOYSON_PTCOVER_3141954_AA_1223250 CV 2 A, N64.6_Posición,JOYSON, N64.6,Posición,1223250 CV 2 A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1223250 CV 2 A, N106.1_Perfil de una línea,JOYSON, N106.1,Perfil de una línea,nan,DATUMS A B C R13º
JOYSON_PTCOVER_3141954_AA_1223450 A, N87.2_Perfil de una línea,JOYSON, N87.2,Perfil de una línea,nan,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1223450 CV 2 A,  N73 DATUM C_PosiciónØ,JOYSON,  N73 DATUM C,PosiciónØ,1223450 CV 2 A,DATUMS A B C
JOYSON_PTCOVER_3141954_AA_1223450 CV1  A, N99_Posición,JOYSON, N99,Posición,1223450 CV1  A,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1223450CAV1," N71.2_Posición(UZ)[-0,10]",JOYSON, N71.2,"Posición(UZ)[-0,10]",1223450CAV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1236760CAV2, N4.1_Posición,JOYSON, N4.1,Posición,1236760CAV2,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1224224CV1, N64.14_Posición,JOYSON, N64.14,Posición,1224224CV1,Sistema global de coordenadas
JOYSON_PTCOVER_3141954_AA_1224499  CV 1, N99_Posición,JOYSON, N99,Posición,1224499  CV 1,Sistema global de coordenadas
