id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1206216A, N36.5_Posición,JOYSON, N36.5,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N23_Posición,JOYSON, N23,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N25_Posición,JOYSON, N25,Posición,1206216A,Sistema global de coordenadas
JOYSON_3118675_AB_1206216A, N38_Ø,JOYSON, N38,Ø,1206216A,nan
JOYSON_3118675_AB_1206216A, N39_Ø,JOYSON, N39,Ø,1206216A,nan
JOYSON_3118675_AB_1206216A, N40_Ø,JOYSON, N40,Ø,1206216A,nan
JOYSON_3118675_AB_1206216A," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1206216A, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1206216F, N33.1_Posición,JOYSON, N33.1,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.2_Posición,JOYSON, N33.2,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.3_Posición,JOYSON, N33.3,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.4_Posición,JOYSON, N33.4,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.5_Posición,JOYSON, N33.5,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.6_Posición,JOYSON, N33.6,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.7_Posición,JOYSON, N33.7,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N33.8_Posición,JOYSON, N33.8,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.1_Posición,JOYSON, N36.1,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.2_Posición,JOYSON, N36.2,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.3_Posición,JOYSON, N36.3,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.4_Posición,JOYSON, N36.4,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.5_Posición,JOYSON, N36.5,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.6_Posición,JOYSON, N36.6,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.7_Posición,JOYSON, N36.7,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N36.8_Posición,JOYSON, N36.8,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N23_Posición,JOYSON, N23,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N25_Posición,JOYSON, N25,Posición,1206216F,Sistema global de coordenadas
JOYSON_3118675_AB_1206216F, N38_Ø,JOYSON, N38,Ø,1206216F,nan
JOYSON_3118675_AB_1206216F, N39_Ø,JOYSON, N39,Ø,1206216F,nan
JOYSON_3118675_AB_1206216F, N40_Ø,JOYSON, N40,Ø,1206216F,nan
JOYSON_3118675_AB_1206216F," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1206216F, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1209133, N36.4_Posición,JOYSON, N36.4,Posición,1209133.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N33.3_Posición,JOYSON, N33.3,Posición,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N33.5_Posición,JOYSON, N33.5,Posición,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N23_Posición,JOYSON, N23,Posición,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N25_Posición,JOYSON, N25,Posición,1206216.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206216, N38_Ø,JOYSON, N38,Ø,1206216.0,nan
JOYSON_3118675_AB_1206216, N39_Ø,JOYSON, N39,Ø,1206216.0,nan
JOYSON_3118675_AB_1206216, N40_Ø,JOYSON, N40,Ø,1206216.0,nan
JOYSON_3118675_AB_1206216," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1206216, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1209394A, N33.1_Posición,JOYSON, N33.1,Posición,1209394A,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N33.1_Posición,JOYSON, N33.1,Posición,1206682.0,Sistema global de coordenadas
